transaction_id,order_ref,product_code,product_name,supplier_code,supplier_name,distributor_code,distributor_name,pharmacy_code,pharmacy_name,order_date,lead_time,delivery_date,quantity_ordered,quantity_delivered,unit_cost,transport_cost,total_cost,status,batch_no,expiry_date,storage_temp,postcode,notes
T100304,OR-28543,PN007,Omeprazole 20mg Capsule,S002,MediSupply Ltd,D001,Central Hub London,PH003,City Clinic Pharmacy,18-Mar-2025,14,04/01/2025,20,20.0,11.67,117.67,351.07,Returned,B4112,2027-02-07,Cold Chain,SE1 9RT,handle with care
T101036,OR-10136,PN006,Warfarin 2mg Tablet,S001,NHS Supply Chain,D003,Scotland Regional Hub,PH004,Community Health Pharmacy,2025-01-25,5,01/30/2025,300,300.0,43.95,166.56,13351.56,Partial,B7016,21/06/2026,Room Temp,,urgent
T100541,OR-21141,PN003,insulin glargine 100iu/ml,S003,UKPharma Dist,D003,Scotland Regional Hub,PH008,Lakeside Pharmacy,2024-07-23,n/a,TBD,0,0.0,68.3,90.38,90.38,In Transit,B9364,26/04/2025,ambient,LS1 1UR,call before delivery
T100030,OR-59372,PN001,Amoxicillin 500mg Capsule,S001,NHS Supply Chain,D002,North West Depot,PH008,Lakeside Pharmacy,2024/03/25,3,30/03/2024,0,0.0,51.04,196.97,196.97,Cancelled,,01/08/2026,ambient,,call before delivery
T100120,OR-84839,PN002,Paracetamol 500mg Tablet,S001,NHS Supply Chain,D004,Wales Depot,PH010,University Hospital Pharmacy,2024-09-22,3,2024-09-27,250,250.0,34.95,16.81,8754.31,Cancelled,B1306,20/02/2027,2-8C,M1 2AB,temperature sensitive
T101525,OR-47372,PN002,Paracetamol 500mg Tablet,S002,MediSupply Ltd,D005,East England Depot,PH005,County General Pharmacy,09/18/2024,7,09/25/2024,50,50.0,59.7,101.63,3086.63,Returned,B7210,Mar 22 2025,Refrigerated,,"urgent
please confirm"
T101240,OR-88091,PN003,Insulin Glargine 100IU/ml,S004,HealQuick,D005,East England Depot,PH004,Community Health Pharmacy,2024-04-21,10,02 May 2024,100,100.0,68.28,209.36,7037.36,Cancelled,B4720,Nov 28 2025,18C,Unknown,handle with care
T101550,OR-44984,PN009,Metformin 500mg Tablet,S002,MediSupply Ltd,D001,Central Hub London,PH001,St Thomas Hospital Pharmacy,12-Oct-2024,5,2024-10-18,200,200.0,48.39,72.67,9750.67,Partial,B7604,Sep 05 2025,ambient,,short shipment
T101595,OR-22235,PN005,salbutamol inhaler,S003,UKPharma Dist,D001,Central Hub London,PH003,City Clinic Pharmacy,05/08/2024,14,21/08/2024,300,300.0,26.94,197.8,8279.8,In Transit,B1617,Oct 01 2026,ambient,,handle with care
T101590,OR-96302,PN009,Metformin 500mg Tablet,S004,HealQuick,D002,North West Depot,PH006,Northside Pharmacy,2024/11/24,10,05 December 2024,10,10.0,70.6,,706.0,Cancelled,B9910,Apr 12 2027,2 to 8°C,LS1 1UR,call before delivery
T100700,OR-57553,PN008,Flu Vaccine,S005,GlobalMeds,D001,Central Hub London,PH006,Northside Pharmacy,31/07/2023,5,07/08/2023,100,100.0,£60.31,180.97,6211.97,Returned,B4460,N/A,Room Temp,Unknown,call before delivery
T101145,OR-68618,PN010,Co-codamol 30/500 Tablet,S001,NHS Supply Chain,D001,Central Hub London,PH008,Lakeside Pharmacy,2023-12-17,5,22/12/2023,150,150.0,64.94,106.78,9847.78,In Transit,B5975,14/12/2025,ambient,B1 1AA,short shipment
T100887,OR-95745,PN010,Co-codamol 30/500 Tablet,S005,GlobalMeds,D002,North West Depot,PH007,Southcare Pharmacy,15-May-2024,5,22/05/2024,3812,3812.0,31.99,,121945.88,Delivered,B4381,2026-03-21,ambient,SE1 9RT,short shipment
T101545,OR-46506,PN004,Atorvastatin 20mg Tablet,S004,HealQuick,D003,Scotland Regional Hub,PH005,County General Pharmacy,2023-10-31,5,06/11/2023,250,250.0,23.22,121.75,5926.75,In Transit,1110,30/10/2025,18C,B1 1AA,
T100393,OR-29785,PN006,Warfarin 2mg Tablet,S004,HealQuick,D003,Scotland Regional Hub,PH009,Midtown Pharmacy,01/22/2025,7,01/29/2025,100,100.0,36.21,41.26,3636.76,Returned,B7247,2026-01-16,2 to 8°C,B1 1AA,urgent
T100772,OR-83724,PN008,Flu Vaccine,S005,GlobalMeds,D004,Wales Depot,PH004,Community Health Pharmacy,05-Jan-2024,14,01/19/2024,250,250.0,20.21,128.14,5155.14,Partial,B9372,06/08/2025,Room Temp,,urgent
T100477,OR-55095,PN007,omeprazole 20mg capsule,S003,UKPharma Dist,D001,Central Hub London,PH003,City Clinic Pharmacy,2023.02.15,10,2023-02-25,10,10.0,£18.25,77.71,TBD,In Transit,B3570,2024-02-27,2-8C,B1 1AA,handle with care
T100023,OR-34878,PN009,Metformin 500mg Tablet,S004,HealQuick,D004,Wales Depot,PH002,Royal Infirmary Pharmacy,2023-05-24,4,2023-05-28,150,150.0,55.8,29.71,8399.71,Cancelled,,03/12/2024,Room Temp,SE1 9RT,call before delivery
T100269,OR-67653,PN008,Flu Vaccine,S003,UKPharma Dist,D001,Central Hub London,PH003,City Clinic Pharmacy,01/11/2024,3,14/01/2024,10,10.0,26.01,135.11,395.21,Delivered,B3425,04/08/2024,Refrigerated,M1 2AB,short shipment
T100032,OR-22987,PN004,Atorvastatin 20mg Tablet,S002,MediSupply Ltd,D004,Wales Depot,PH008,Lakeside Pharmacy,26-Feb-2025,7,2025-03-05,0,0.0,63.52,228.94,228.94,In Transit,B2502,09/04/2026,2-8C,LS1 1UR,
T101227,OR-51361,PN003,Insulin Glargine 100IU/ml,S002,MediSupply Ltd ,D005,East England Depot,PH002,Royal Infirmary Pharmacy,04/20/2024,10,04/30/2024,500,500.0,66.26,134.95,33264.95,In Transit,B8672,2026-10-03,2-8C,,handle with care
T100550,OR-97573,PN007,Omeprazole 20mg Capsule,S005,GlobalMeds,D003,Scotland Regional Hub,PH007,Southcare Pharmacy,30-Jun-2024,3,05/07/2024,250,250.0,46.23,205.44,11762.94,In Transit,B5934,2026-10-30,Room Temp,B1 1AA,short shipment
T100829,OR-82057,PN010,Co-codamol 30/500 Tablet,S002,MediSupply Ltd,D002,North West Depot,PH008,Lakeside Pharmacy,17-Aug-2023,7,2023-08-25,10,10.0,24.79,253.95,501.85,Delivered,B7407,2024-09-06,Cold Chain,unknown,handle with care
T101028,OR-86568,PN006,Warfarin 2mg Tablet,S002,MediSupply Ltd,D004,Wales Depot,PH005,County General Pharmacy,08/23/2024,7,2024-09-01,50,50.0,£6.41,,TBD,Cancelled,B1151,2026-11-01,2-8C,Unknown,"call before delivery
please confirm"
T100614,OR-73135,PN009,Metformin 500mg Tablet,S001,NHS Supply Chain,D002,North West Depot,PH009,Midtown Pharmacy,19-Jan-2023,3,2023-01-22,200,200.0,64.72,201.23,13145.23,Cancelled,B4994,2024-06-13,2-8C,LS1 1UR,—
T100064,OR-51934,PN005,Salbutamol Inhaler,S003,UKPharma Dist,D001,Central Hub London,PH006,Northside Pharmacy,04/06/2025,2,04/08/2025,250,250.0,67.12,,16780.0,Delivered,B8729,2026-03-05,Refrigerated,,handle with care
T101425,OR-61548,PN001,Amoxicillin  500mg  Capsule,S002,MediSupply Ltd,D001,Central Hub London,PH002,Royal Infirmary Pharmacy,12/23/2023,2,26/12/2023,500,500.0,68.23,286.5,34401.5,Returned,B3435,18/10/2025,18C,LS1 1UR,temperature sensitive
T100964,OR-86872,PN001,Amoxicillin 500mg Capsule,S002,MediSupply Ltd ,D003,Scotland Regional Hub,PH001,St Thomas Hospital Pharmacy,2024/12/13,2,15/12/2024,50,50.0,10.34,252.92,769.92,Delivered,B1581,Jun 17 2026,ambient,N/A,temperature sensitive
T101049,OR-77582,PN006,Warfarin 2mg Tablet,S002,MediSupply Ltd,D002,North West Depot,PH002,Royal Infirmary Pharmacy,2023-02-03,4,02/07/2023,150,150.0,17.82,108.11,2781.11,Cancelled,B4057,2024-04-30,ambient,LS1 1UR,temperature sensitive
T100405,OR-42018,PN010,Co-codamol 30/500 Tablet,S003,UKPharma Dist,D004,Wales Depot,PH008,Lakeside Pharmacy,04/14/2024,14,28/04/2024,10,10.0,29.64,76.43,372.83,Returned,B3448,2025-05-25,,SE1 9RT,temperature sensitive
T100168,OR-75881,PN001,Amoxicillin 500mg Capsule,S003,UKPharma Dist,D005,East England Depot,PH003,City Clinic Pharmacy,19/02/2025,5,24/02/2025,500,500.0,40.8,220.77,20620.77,Delivered,B6060,2025-12-22,Room Temp,Unknown,short shipment
T100402,OR-11386,PN009,Metformin 500mg Tablet,S001,NHS Supply Chain,D001,Central Hub London,PH010,University Hospital Pharmacy,15/04/2023,2,,150,150.0,51.66,121.84,7870.84,Cancelled,B5391,2024-01-05,2-8C,B1 1AA,short shipment
T101206,OR-75287,PN005,Salbutamol Inhaler,S005,GlobalMeds,D003,Scotland Regional Hub,PH009,Midtown Pharmacy,13/07/2024,7,2024-07-22,250,250.0,51.58,287.19,13182.19,Partial,B2409,2026-05-26,,m1 2ab,temperature sensitive
T100538,OR-69168,PN001,Amoxicillin 500mg Capsule,S002,MediSupply Ltd,D004,Wales Depot,PH003,City Clinic Pharmacy,2024-02-02,4,02/07/2024,3592,3592.0,60.75,162.84,218376.84,Returned,B6880,Apr 11 2026,Refrigerated,se1 9rt,call before delivery
T100731,OR-57492,PN001,Amoxicillin 500mg Capsule,S001,NHS Supply Chain,D001,Central Hub London,PH006,Northside Pharmacy,2023/11/01,5,08/11/2023,50,50.0,53.89,157.88,2852.38,Returned,B3381,2024-11-07,Cold Chain,B1 1AA,
T100960,OR-77426,PN007,Omeprazole 20mg Capsule,S002,MediSupply Ltd,D002,North West Depot,PH010,University Hospital Pharmacy,2024.06.12,10,2024-06-24,50,,28.56,226.68,1654.68,Delivered,B7280,22/02/2025,Room Temp,Unknown,
T101165,OR-11869,PN009,Metformin 500mg Tablet,S005,GlobalMeds,D003,Scotland Regional Hub,PH009,Midtown Pharmacy,03/11/2023,3,2023-11-07,20,20.0,32.11,226.98,869.18,Delivered,B1782,24/01/2026,2-8C,M1 2AB,handle with care
T100059,OR-62802,PN010,Co-codamol 30/500 Tablet,S004,HealQuick,D002,North West Depot,PH004,Community Health Pharmacy,2025-04-04,7,12/04/2025,100,100.0,10.6,17.79,1077.79,In Transit,B6277,2027-08-24,Refrigerated,,call before delivery
T101239,OR-34759,PN001,Amoxicillin 500mg Capsule,S002,MediSupply Ltd,D003,Scotland Regional Hub,PH002,Royal Infirmary Pharmacy,04/08/2025,14,2025-04-24,20,20.0,£51.43,2.14,1030.74,Partial,B5810,Nov 28 2026,2 to 8°C,unknown,
T100068,OR-46822,PN008,Flu Vaccine,S004,HealQuick,D004,Wales Depot,PH003,City Clinic Pharmacy,29/12/2023,4,01/02/2024,100,52.0,31.73,74.74,3247.74,Delivered,B6883,Nov 04 2025,Refrigerated,M1 2AB,urgent
T100858,OR-22324,PN010,Co-codamol 30/500 Tablet,S003,UKPharma Dist,D003,Scotland Regional Hub,PH008,Lakeside Pharmacy,2025-01-02,5,07/01/2025,500,500.0,50.82,119.38,25529.38,In Transit,B6291,2025-11-11,2-8C,B1 1AA,short shipment
T100762,OR-17056,PN008,Flu Vaccine,S002,MediSupply Ltd,D002,North West Depot,PH004,Community Health Pharmacy,2024/10/10,7,17/10/2024,150,150.0,33.37,73.25,5078.75,In Transit,,2026-02-15,Room Temp,SE1 9RT,short shipment
T100157,OR-23902,PN008,Flu Vaccine,S001,NHS Supply Chain,D004,Wales Depot,PH007,Southcare Pharmacy,04/29/2023,4,05/05/2023,10,10.0,56.37,198.94,762.64,Delivered,B3958,12/01/2024,18C,m1 2ab,call before delivery
T100913,OR-54148,PN004,Atorvastatin 20mg Tablet,S004,HealQuick,D003,Scotland Regional Hub,PH008,Lakeside Pharmacy,05/03/2024,2,07/05/2024,0,0.0,6.87,,0.0,Returned,B9818,26/09/2025,18C,M1 2AB,call before delivery
T101289,OR-81368,PN007,Omeprazole 20mg Capsule,S003,UKPharma Dist,D005,East England Depot,PH008,Lakeside Pharmacy,23-Feb-2025,7,03/04/2025,50,50.0,69.68,189.71,3673.71,Cancelled,B4101,Feb 20 2027,,B1 1AA,short shipment
T100414,OR-51724,PN004,Atorvastatin 20mg Tablet,S003,UKPharma Dist,D003,Scotland Regional Hub,PH001,St Thomas Hospital Pharmacy,14-Nov-2024,7,2024-11-21,150,150.0,31.24,31.27,4717.27,Delivered,B2998,2026-11-07,Room Temp,SE1 9RT,
T101297,OR-54422,PN001,Amoxicillin 500mg Capsule,S003,UKPharma Dist,D005,East England Depot,PH009,Midtown Pharmacy,26/07/2023,5,2023-08-02,100,100.0,56.55,252.19,5907.19,Partial,B7893,2024-09-16,2-8C,SE1 9RT,call before delivery
T100727,OR-49006,PN005,Salbutamol Inhaler,S003,UKPharma Dist,D005,East England Depot,PH010,University Hospital Pharmacy,2023.08.04,14,2023-08-18,0,0.0,35.55,274.29,274.29,In Transit,B4918,2025-03-14,Refrigerated,B1 1AA,short shipment
T100585,OR-98710,PN010,Co-codamol 30/500 Tablet,S003,UKPharma Dist,D003,Scotland Regional Hub,PH006,Northside Pharmacy,2023/04/06,14,20 April 2023,200,180.0,13.57,144.09,2858.09,Partial,B3750,29/05/2024,2-8C,SE1 9RT,short shipment
T100345,OR-27723,PN004,Atorvastatin 20mg Tablet,S002,MediSupply Ltd,D005,East England Depot,PH009,Midtown Pharmacy,2024/08/28,5,02/09/2024,250,250.0,£58.0,121.74,14621.74,Delivered,B2889,2025-07-03,18C,SE1 9RT,call before delivery
T100442,OR-42293,PN005,salbutamol inhaler,S004,HealQuick,D003,Scotland Regional Hub,PH006,Northside Pharmacy,2024/01/17,5,,10,10.0,12.88,16.91,145.71,In Transit,B2113,Nov 10 2025,Room Temp,LS1 1UR,handle with care
T100098,OR-60157,PN007,Omeprazole 20mg Capsule,S005,GlobalMeds ,D001,Central Hub London,PH009,Midtown Pharmacy,2023/10/19,4,2023-10-23,200,200.0,5.89,240.88,1418.88,Returned,B8254,2025-11-13,2 to 8°C,LS1 1UR,
T100265,OR-51331,PN007,Omeprazole 20mg Capsule,S003,UKPharma Dist,D003,Scotland Regional Hub,PH004,Community Health Pharmacy,2023/03/07,10,19/03/2023,2395,2395.0,11.81,159.67,28444.62,Partial,,Apr 10 2025,Cold Chain,M1 2AB,short shipment
T101357,OR-35173,PN003,Insulin Glargine 100IU/ml,S002,MediSupply Ltd,D005,East England Depot,PH004,Community Health Pharmacy,2023-11-03,2,11/06/2023,100,100.0,£43.68,126.9,4494.9,In Transit,B3036,25/06/2024,Cold Chain,B1 1AA,handle with care
T100697,OR-62391,PN008,Flu Vaccine,S003,UKPharma Dist ,D001,Central Hub London,PH004,Community Health Pharmacy,11-Nov-2023,14,2023-11-25,20,20.0,13.3,,266.0,Delivered,B8560,2025-01-28,18C,M1 2AB,urgent
T100246,OR-89451,PN003,Insulin Glargine 100IU/ml,S005,GlobalMeds,D005,East England Depot,PH010,University Hospital Pharmacy,01/14/2024,5,2024-01-20,250,250.0,63.38,95.57,15940.57,In Transit,B5558,03/04/2026,ambient,M1 2AB,urgent
T101249,OR-16605,PN002,Paracetamol 500mg Tablet,S003,UKPharma Dist,D002,North West Depot,PH002,Royal Infirmary Pharmacy,08-Mar-2025,4,2025-03-12,100,100.0,74.32,49.59,7481.59,Partial,B4577,13/02/2027,18C,B1 1AA,handle with care
T101567,OR-32525,PN008,Flu Vaccine,S002,MediSupply Ltd,D005,East England Depot,PH008,Lakeside Pharmacy,2024-12-25,3,2024-12-28,300,300.0,45.58,234.77,13908.77,Returned,B5004,Apr 27 2026,2-8C,LS1 1UR,urgent
T100430,OR-80723,PN010,Co-codamol  30/500  Tablet,S001,NHS Supply Chain,D004,Wales Depot,PH005,County General Pharmacy,2024-12-11,3,2024-12-15,10,10.0,29.39,136.32,430.22,Cancelled,B2851,Jun 29 2026,2 to 8°C,,—
T100750,OR-31653,PN002,Paracetamol 500mg Tablet,S002,MediSupply Ltd,D002,North West Depot,PH002,Royal Infirmary Pharmacy,2023/09/09,3,09/12/2023,250,250.0,£51.87,179.47,13146.97,Partial,B9260,13/09/2024,Refrigerated,Unknown,
T100639,OR-35388,PN008,Flu Vaccine,S002,MediSupply Ltd,D002,North West Depot,PH005,County General Pharmacy,09-Feb-2023,5,2023-02-14,300,300.0,63.89,,19167.0,Partial,B9884,2024-02-08,Cold Chain,M1 2AB,short shipment
T101250,OR-23730,PN001,amoxicillin 500mg capsule,S005,GlobalMeds,D004,Wales Depot,PH008,Lakeside Pharmacy,09/07/2023,5,13/09/2023,10,10.0,17.36,63.56,237.16,Delivered,B9751,01/11/2025,2 to 8°C,M1 2AB,call before delivery
T101238,OR-90954,PN007,Omeprazole 20mg Capsule,S004,HealQuick,D002,North West Depot,PH005,County General Pharmacy,2023/08/24,4,29/08/2023,250,250.0,56.34,97.3,14156.8,In Transit,B9539,2025-07-18,Room Temp,SE1 9RT,urgent
T100915,OR-97803,PN005,Salbutamol Inhaler,S003,UKPharma Dist,D001,Central Hub London,PH008,Lakeside Pharmacy,09/09/2024,5,16/09/2024,250,91.0,14.88,6.51,3726.51,In Transit,B3882,2025-06-17,ambient,LS1 1UR,short shipment
T100932,OR-32246,PN004,Atorvastatin 20mg Tabl3t,S002,MediSupply Ltd,D002,North West Depot,PH008,Lakeside Pharmacy,2023.01.17,14,02/02/2023,250,99.0,23.93,285.71,6268.21,Cancelled,B8954,Sep 13 2023,Room Temp,N/A,short shipment
T101530,OR-77212,PN007,Omeprazole 20mg Capsule,S004,HealQuick,D001,Central Hub London,PH003,City Clinic Pharmacy,13/07/2023,2,15 July 2023,500,500.0,50.85,6.45,25431.45,In Transit,B9337,24/10/2024,2 to 8°C,LS1 1UR,
T100966,OR-62591,PN006,Warfarin 2mg Tablet,S003,UKPharma Dist,D002,North West Depot,PH001,St Thomas Hospital Pharmacy,2023/04/11,n/a,,-25,-25.0,£69.88,223.24,TBD,Partial,B1529,Sep 23 2024,Refrigerated,LS1 1UR,call before delivery
T100242,OR-68171,PN001,Amoxicillin 500mg Capsule,S004,HealQuick,D004,Wales Depot,PH001,St Thomas Hospital Pharmacy,2024-08-16,7,25/08/2024,250,250.0,4.19,205.33,1252.83,Delivered,B4734,2025-11-04,18C,M1 2AB,urgent
T100930,OR-19111,PN001,Amoxicillin 500mg Capsule,S003,UKPharma Dist,D002,North West Depot,PH004,Community Health Pharmacy,01/04/2025,10,04/13/2025,50,50.0,11.74,180.82,777.82,In Transit,B1743,2026-02-27,Room Temp,Unknown,urgent
T100413,OR-41395,PN007,Omeprazole 20mg Capsule,S003,UKPharma Dist,D003,Scotland Regional Hub,PH004,Community Health Pharmacy,05/01/2024,7,01/14/2024,300,300.0,9.92,6.64,2992.64,Returned,B6019,17/06/2025,Refrigerated,M1 2AB,temperature sensitive
T101367,OR-12375,PN009,metformin 500mg tablet,S005,GlobalMeds,D003,Scotland Regional Hub,PH008,Lakeside Pharmacy,2023/09/25,2,29/09/2023,500,500.0,40.35,53.37,20228.37,Cancelled,B9452,2025-12-09,2-8C,M1 2AB,call before delivery
T100767,OR-50714,PN001,Amoxicillin 500mg Capsule,S005,GlobalMeds,D005,East England Depot,PH009,Midtown Pharmacy,2024/07/04,3,2024-07-07,0,0.0,£69.45,226.83,226.83,Delivered,B3847,18/04/2025,18C,,
